80000300 osTvType
80000308 osRomBase
8000030C osResetType
8000031C osAppNMIBuffer
80002D64 n_alSeqpDelete
80002DD8 n_alSynRemovePlayer
80004510 __dummy
8005A400 sqrtf
800A4320 ptstart
800BDEA0 osSendMesg
800BDFF0 osPfsFreeBlocks
800BE140 alSndpDelete
800BE170 osRecvMesg
800BE2B0 alUnlink
800BE2E0 alLink
800BE304 alClose
800BE33C alInit
800BE370 guRotateRPYF
800BE3C4 guRotateRPY
800BE410 __sinf
800BE5D0 __osExceptionPreamble
800BE5E0 __osException
800BEBFC __osEnqueueAndYield
800BECFC __osEnqueueThread
800BED44 __osPopThread
800BED54 __osDispatchThread
800BEED0 __osCleanupThread
800BEEE0 __osDequeueThread
800BEF20 osDestroyThread
800BF030 alSeqpSetBank
800BF070 __osLeoInterrupt
800BF714 leointerrupt_text_06A4
800BF7FC leointerrupt_text_078C
800BF8F0 osContInit
800BFA60 __osContGetInitData
800BFB30 __osPackRequestData
800BFC30 __osSiCreateAccessQueue
800BFC80 __osSiGetAccess
800BFCC4 __osSiRelAccess
800BFCF0 osCreateThread
800BFE40 alSndpStop
800BFE90 osContStartReadData
800BFF1C osContGetReadData
800BFFC4 contreaddata_text_0134
800C00C0 bnkf_text_0010
800C01B4 alBnkfNew
800C02B8 alSeqFileNew
800C038C sndplayer_text_008C
800C08D4 alSndpNew
800C0A10 osSetIntMask
800C0AB0 alSynSetVol
800C0B50 alEvtqFlushType
800C0BFC alEvtqFlush
800C0C6C alEvtqPostEvent
800C0D90 alEvtqNextEvent
800C0E1C alEvtqNew
800C0E90 alSynFreeVoice
800C0F40 _allocatePVoice
800C1028 alSynAllocVoice
800C1170 __setInstChanState
800C11C4 __resetPerfChanState
800C1244 __initFromBank
800C1300 __vsDelta
800C1324 __vsVol
800C13AC __seqpReleaseVoice
800C14D8 __voiceNeedsNoteKill
800C1580 __unmapVoice
800C15F0 __postNextSeqEvent
800C1744 __vsPan
800C178C __lookupVoice
